Date,Hydroelectricity,Geothermal,Solar,Waste,Wind,Wood,Total
2010-01-01,22383.072,1311.84,9.866,1502.763,6854.337,3126.163,35188.041
2010-02-01,20589.83,1159.038,32.824,1382.241,5431.858,2894.564,31490.355
2010-03-01,20885.663,1306.596,75.999,1591.67,8589.077,3090.278,35539.283
2010-04-01,19096.663,1240.251,112.279,1558.147,9764.456,2932.095,34703.891
2010-05-01,25079.217,1310.548,153.172,1576.629,8697.525,2892.948,39710.039
2010-06-01,29853.827,1263.676,176.053,1626.765,8049.021,3093.706,44063.048
2010-07-01,24516.761,1273.616,161.382,1640.073,6723.891,3308.174,37623.897
2010-08-01,20119.232,1296.912,156.393,1642.191,6685.855,3318.726,33219.309
2010-09-01,17265.206,1252.569,137.581,1574.687,7105.502,3157.071,30492.616
2010-10-01,17682.976,1222,75.436,1547.063,7943.808,3002.77,31474.053
2010-11-01,19561.55,1252.33,76.795,1625.338,9747.619,3080.205,35343.837
2010-12-01,23169.071,1329.837,44.401,1649.639,9059.297,3275.46,38527.705
2011-01-01,25531.094,1346.945,39.782,1514.838,8550.495,3289.926,40273.08
2011-02-01,24131.226,1215.006,85.299,1426.672,10451.562,2937.029,40246.794
2011-03-01,31134.471,1337.484,122.3,1565.031,10544.646,3080.551,47784.483
2011-04-01,31194.307,1239.063,164.006,1502.544,12421.657,2797.961,49319.538
2011-05-01,32586.926,1317.548,190.669,1563.179,11772.161,2794.342,50224.825
2011-06-01,32151.214,1214.562,222.773,1631.657,10985.069,3230.061,49435.336
2011-07-01,31284.635,1269.04,191.102,1689.74,7488.629,3361.934,45285.08
2011-08-01,25763.578,1274.632,229.163,1692.393,7473.594,3383.756,39817.116
2011-09-01,21377.592,1225.547,185.72,1589.088,6869.029,3178.464,34425.44
2011-10-01,19787.39,1280.628,158.86,1630.97,10525.429,2953.911,36337.188
2011-11-01,20680.527,1271.218,107.37,1684.402,12438.553,3087.888,39269.958
2011-12-01,23731.944,1324.395,120.654,1731.249,10655.775,3353.243,40917.26
2012-01-01,23107.181,1263.252,95.32,1601.15,13632.395,3313.682,43012.98
2012-02-01,20283.421,1193.33,135.24,1503.968,11051.982,3111.455,37279.396
2012-03-01,25908.537,1285.149,231.228,1623.477,14026.442,3033.985,46108.818
2012-04-01,26294.124,1248.299,318.723,1583.228,12709.239,2703.907,44857.52
2012-05-01,28642.515,1303.996,462.597,1653.687,12540.523,2937.316,47540.634
2012-06-01,26658.751,1277.48,527.068,1611.538,11972.304,3081.189,45128.33
2012-07-01,26491.28,1320.648,509.51,1721.233,8821.542,3351.847,42216.06
2012-08-01,23034.015,1303.839,461.411,1725.555,8468.912,3370.279,38364.011
2012-09-01,17603.73,1299.983,458.103,1626.094,8789.666,3227.466,33005.042
2012-10-01,16500.61,1329.149,431.427,1715.799,12635.641,3112.879,35725.505
2012-11-01,18732.352,1347.052,347.276,1684.004,11648.59,3190.3,36949.574
2012-12-01,22983.707,1390.249,348.772,1773.304,14524.467,3364.827,44385.326
2013-01-01,24828.528,1381.88,309.824,1688.273,14738.504,3399.749,46346.758
2013-02-01,20418.465,1236.235,432.643,1502.89,14075.591,3083.028,40748.852
2013-03-01,20534.358,1378.216,619.399,1757.147,15755.653,3299.772,43344.545
2013-04-01,25097.105,1274.158,666.739,1680.538,17476.274,2863.139,49057.953
2013-05-01,28450.094,1307.711,752.707,1781.204,16238.702,3173.934,51704.352
2013-06-01,27384.067,1278.254,870.685,1726.958,13748.106,3330.231,48338.301
