"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Nova Scotia","2016A000212","Electricity producer, industries","Total thermal generation","Megawatt hours","210","units ","0","v52300504","4.3.6","229491","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, industries","Conventional steam turbine","Megawatt hours","210","units ","0","v52300505","4.3.7","229491","","","","0"
"2005","New Brunswick","2016A000213","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300506","5.1.1","21063054","","","","0"
"2005","New Brunswick","2016A000213","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300508","5.1.2","3875332","","","","0"
"2005","New Brunswick","2016A000213","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units ","0","v52300509","5.1.3","3875332","","","","0"
"2005","New Brunswick","2016A000213","Total all classes of electricity producer","Total thermal generation","Megawatt hours","210","units ","0","v52300510","5.1.6","17187722","","","","0"
"2005","New Brunswick","2016A000213","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units ","0","v52300511","5.1.7","11282550","","","","0"
"2005","New Brunswick","2016A000213","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units ","0","v52300512","5.1.8","4377987","","","","0"
"2005","New Brunswick","2016A000213","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units ","0","v52300513","5.1.9","5853","","","","0"
"2005","New Brunswick","2016A000213","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units ","0","v52300507","5.1.10","1521332","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, electric utilities","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300514","5.2.1","20294552","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, electric utilities","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300516","5.2.2","3817074","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, electric utilities","Hydraulic turbine","Megawatt hours","210","units ","0","v52300517","5.2.3","3817074","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, electric utilities","Total thermal generation","Megawatt hours","210","units ","0","v52300518","5.2.6","16477478","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, electric utilities","Conventional steam turbine","Megawatt hours","210","units ","0","v52300519","5.2.7","10572306","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, electric utilities","Nuclear steam turbine","Megawatt hours","210","units ","0","v52300520","5.2.8","4377987","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, electric utilities","Internal combustion turbine","Megawatt hours","210","units ","0","v52300521","5.2.9","5853","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, electric utilities","Combustion turbine","Megawatt hours","210","units ","0","v52300515","5.2.10","1521332","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, industries","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300522","5.3.1","768502","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, industries","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300523","5.3.2","58258","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, industries","Hydraulic turbine","Megawatt hours","210","units ","0","v52300524","5.3.3","58258","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, industries","Total thermal generation","Megawatt hours","210","units ","0","v52300525","5.3.6","710244","","","","0"
"2005","New Brunswick","2016A000213","Electricity producer, industries","Conventional steam turbine","Megawatt hours","210","units ","0","v52300526","5.3.7","710244","","","","0"
"2005","Quebec","2016A000224","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300527","6.1.1","180296084","","","","0"
"2005","Quebec","2016A000224","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300529","6.1.2","173772476","","","","0"
"2005","Quebec","2016A000224","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units ","0","v52300530","6.1.3","173356235","","","","0"
"2005","Quebec","2016A000224","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units ","0","v52300531","6.1.5","416241","","","","0"
"2005","Quebec","2016A000224","Total all classes of electricity producer","Total thermal generation","Megawatt hours","210","units ","0","v52300532","6.1.6","6523608","","","","0"
"2005","Quebec","2016A000224","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units ","0","v52300533","6.1.7","1572888","","","","0"
"2005","Quebec","2016A000224","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units ","0","v52300534","6.1.8","4483055","","","","0"
"2005","Quebec","2016A000224","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units ","0","v52300535","6.1.9","260098","","","","0"
"2005","Quebec","2016A000224","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units ","0","v52300528","6.1.10","207567","","","","0"
"2005","Quebec","2016A000224","Electricity producer, electric utilities","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300536","6.2.1","160963148","","","","0"
"2005","Quebec","2016A000224","Electricity producer, electric utilities","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300538","6.2.2","155093837","","","","0"
"2005","Quebec","2016A000224","Electricity producer, electric utilities","Hydraulic turbine","Megawatt hours","210","units ","0","v52300539","6.2.3","154677596","","","","0"
"2005","Quebec","2016A000224","Electricity producer, electric utilities","Wind power turbine","Megawatt hours","210","units ","0","v52300540","6.2.5","416241","","","","0"
"2005","Quebec","2016A000224","Electricity producer, electric utilities","Total thermal generation","Megawatt hours","210","units ","0","v52300541","6.2.6","5869311","","","","0"
"2005","Quebec","2016A000224","Electricity producer, electric utilities","Conventional steam turbine","Megawatt hours","210","units ","0","v52300542","6.2.7","918591","","","","0"
"2005","Quebec","2016A000224","Electricity producer, electric utilities","Nuclear steam turbine","Megawatt hours","210","units ","0","v52300543","6.2.8","4483055","","","","0"
"2005","Quebec","2016A000224","Electricity producer, electric utilities","Internal combustion turbine","Megawatt hours","210","units ","0","v52300544","6.2.9","260098","","","","0"
"2005","Quebec","2016A000224","Electricity producer, electric utilities","Combustion turbine","Megawatt hours","210","units ","0","v52300537","6.2.10","207567","","","","0"
"2005","Quebec","2016A000224","Electricity producer, industries","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300545","6.3.1","19332936","","","","0"
"2005","Quebec","2016A000224","Electricity producer, industries","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300546","6.3.2","18678639","","","","0"
"2005","Quebec","2016A000224","Electricity producer, industries","Hydraulic turbine","Megawatt hours","210","units ","0","v52300547","6.3.3","18678639","","","","0"
"2005","Quebec","2016A000224","Electricity producer, industries","Total thermal generation","Megawatt hours","210","units ","0","v52300548","6.3.6","654297","","","","0"
"2005","Quebec","2016A000224","Electricity producer, industries","Conventional steam turbine","Megawatt hours","210","units ","0","v52300549","6.3.7","654297","","","","0"
"2005","Ontario","2016A000235","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300550","7.1.1","158750451","","","","0"
