"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVEGBUS","198104","216.614","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198105","251.721","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198106","275.643","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198107","262.714","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198108","225.941","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198109","186.288","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198110","189.078","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198111","198.225","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198112","249.605","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198113","2724.925","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198201","281.166","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198202","279.017","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198203","312.415","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198204","291.958","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198205","292.408","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198206","292.219","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198207","285.33","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198208","249.792","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198209","207.991","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198210","206.47","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198211","243.545","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198212","290.202","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198213","3232.512","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","198301","307.547","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
